I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
156, 278, 122, -217, 17, 200, -19, -253, 429, 1107, 878, 580, 
131, 341, 209, -236, -39, 275, -48, -463, 292, 927, 814, 551, 
87, 390, 302, -239, -107, 346, -102, -712, 97, 639, 663, 453, 
29, 434, 405, -231, -187, 419, -204, -946, -117, 322, 468, 312, 
-43, 497, 541, -226, -292, 519, -351, -1195, -341, -4, 268, 165, 
-102, 566, 668, -231, -385, 617, -468, -1468, -575, -336, 63, 24, 
-165, 585, 751, -209, -458, 668, -561, -1722, -814, -649, -136, -126, 
-229, 551, 780, -161, -505, 666, -663, -1952, -1073, -941, -331, -268, 
-287, 473, 761, -92, -524, 617, -780, -2152, -1342, -1210, -527, -400, 
-312, 375, 688, -31, -500, 531, -868, -2254, -1537, -1395, -692, -507, 
-317, 273, 590, 21, -453, 431, -907, -2215, -1595, -1454, -790, -580, 
-322, 185, 507, 68, -414, 346, -912, -2142, -1581, -1459, -858, -624, 
-326, 141, 468, 92, -397, 305, -936, -2088, -1571, -1429, -888, -649, 
-307, 107, 414, 100, -361, 261, -951, -1986, -1537, -1356, -854, -629, 
-287, 58, 346, 114, -317, 202, -922, -1834, -1459, -1249, -790, -590, 
-278, 29, 307, 124, -292, 168, -868, -1668, -1366, -1141, -727, -546, 
-253, 34, 287, 109, -270, 161, -810, -1507, -1268, -1024, -653, -488, 
-214, 48, 263, 82, -239, 156, -741, -1337, -1146, -893, -551, -419, 
-175, 53, 229, 61, -202, 141, -663, -1151, -1005, -766, -453, -346, 
-151, 39, 190, 56, -170, 114, -585, -1010, -893, -668, -395, -292, 
-131, 24, 156, 53, -143, 90, -536, -897, -810, -600, -361, -263, 
-112, 14, 126, 48, -119, 70, -492, -795, -727, -541, -326, -239, 
-92, 4, 97, 43, -95, 51, -439, -697, -644, -473, -283, -204, 
-78, -14, 63, 46, -70, 24, -380, -585, -556, -409, -248, -175, 
-68, -29, 39, 48, -53, 4, -307, -468, -458, -346, -209, -146, 
-68, -34, 34, 51, -51, 0, -219, -356, -351, -273, -170, -126, 
-63, -34, 29, 48, -46, -2, -156, -263, -268, -219, -136, -107, 
-48, -29, 19, 39, -34, -4, -112, -195, -209, -185, -117, -92, 
-48, -29, 19, 39, -34, -4, -73, -141, -161, -151, -97, -78, 
-43, -39, 4, 41, -24, -17, -43, -102, -122, -112, -73, -63, 
-24, -48, -24, 36, 0, -36, -29, -68, -92, -82, -53, -43, 
-19, -53, -34, 36, 7, -43, -14, -34, -68, -68, -43, -29, 
-19, -58, -39, 39, 9, -48, -9, -9, -43, -58, -34, -34, 
-19, -63, -43, 41, 12, -53, -4, 9, -29, -48, -29, -39, 
-19, -78, -58, 48, 19, -68, 4, 29, -14, -34, -24, -29, 
-14, -82, -68, 48, 26, -75, 19, 43, -4, -24, -14, -14, 
-9, -87, -78, 48, 34, -82, 34, 53, 0, -24, -14, -19, 
-9, -87, -78, 48, 34, -82, 39, 58, 9, -14, -14, -14, 
-14, -87, -73, 51, 29, -80, 39, 73, 19, 0, -4, 0, 
-9, -87, -78, 48, 34, -82, 39, 82, 24, 0, 0, 0, 
0, -82, -82, 41, 41, -82, 43, 92, 29, 9, 4, 0, 
0, -78, -78, 39, 39, -78, 48, 97, 43, 24, 14, 9, 
-4, -87, -82, 46, 39, -85, 58, 107, 48, 29, 19, 9, 
-4, -87, -82, 46, 39, -85, 58, 107, 48, 29, 19, 9, 
0, -82, -82, 41, 41, -82, 53, 112, 48, 34, 24, 14, 
